bd_id,oper,model
ALW048TW1060A,2200,UTC1000S
ALW048TW1060A,2200,UTC2000
AAW024XJ6011B,2200,UTC2000
AAW024XJ6011B,2200,UTC3000
AAW024XJ6011B,3200,UTC2000
AAW024XJ6011B,3200,UTC3000
ABU144C71005A,2200,UTC2000
AAB008YM2020A-A,2200,MAXUM-PLUS
AAB008YM2020A-A,2200,MAXUM
ABU100X69002A,2200,UTC2000
ANV0086A1007A,2200,MAXUM-PLUS
ANV0086A1007A,2200,MAXUM
ANI020YU1002B,2200,ICONN
AQW008YM2001A,2200,MAXUM
ABU008Y62009A,2200,MAXUM
AQW008YM2004A,2200,MAXUM-PLUS
OI072AF1066A,2200,MAXUM-PLUS
AAB008YQ2011B,2200,RAPID
ACD096EF2001A,2200,UTC1000S
ACD096EF2001A,2200,UTC2000
ACD096EF2001A,2200,UTC3000
ACD096EF2001A,2200,MAXUM-PLUS
ABU008YD2007A,2200,MAXUM
ABU008YD2007A,2200,ICONN-PLUS
AAB162KE1007A,3200,UTC2000
AAB162KE1007A,2200,UTC2000
AMS048TW1039A,2200,UTC1000S
ABW032YF1013A,2200,MAXUM-PLUS
ABU024XJ6002A,2200,UTC2000
ABU024XJ6002A,3200,UTC2000
ABU048TP2009A,2200,UTC1000S
ABU048TP2009A,2200,UTC2000
AAB063NW3003A,2200,UTC1000S
AAB063NW3003A,2200,UTC2000
ANV0086A1032A,2200,ICONN-PLUS
AAW048TP1034C,2200,UTC1000S
AAW016D53007B,2200,UTC2000
AAW016D53007B,2200,UTC3000
BU048MW2003B,2200,UTC1000S
AAB162KE1008A,2200,UTC2000
AAB162KE1008A,2200,UTC3000
AAW008Y62013B,2200,MAXUM-PLUS
AAW008Y62013B,2200,MAXUM
AMS048TW1032A,2200,UTC1000S
AAB008YQ2035A,2200,ICONN-PLUS
ABU134N93001A,2200,UTC1000S
ASS153XT9002A,2200,UTC2000
ASS153XT9002A,2200,UTC3000
AAS008YD2019A,2200,MAXUM
ASS153XT9002A,2200,MAXUM-PLUS
ABU063NW1001A,2200,UTC2000
AQW008YM2004A,2200,MAXUM
ANI010YK3002A,2200,RAPID
AAW048TP1034C,2200,UTC2000
ABW032YF1013A,2200,MAXUM
AQH072AF1001A,2200,MAXUM-PLUS
AQH072AF1001A,2200,MAXUM
AEU0086A1004A,2200,MAXUM-PLUS
AGA060NR1001A,2200,UTC1000S
AGA060NR1001A,2200,UTC2000
ABU008Y62003A,2200,MAXUM
ABU008Y62003A,2200,ICONN
ABU008Y62003A,2200,RAPID
AMS048TW1020A,2200,UTC1000S
AMS048TW1020A,2200,UTC2000
ASS153XT9001A,2200,UTC3000
AAW048TP1042C,2200,UTC1000S
AAW048TP1042C,2200,UTC2000
ASS153XT9001A,2200,UTC2000
AHQ0225N1001A,2200,ICONN
ANV0086A1003A,2200,MAXUM-PLUS
ANV0086A1003A,2200,MAXUM
AAB008YQ2002A,2200,MAXUM-PLUS
AAB008YQ2002A,2200,MAXUM
AAS008FG1003A,2200,MAXUM
OK048TV1005B,2200,UTC1000S
ABW048LF1018A,2200,UTC1000S
AAS066TS1004B,2200,MAXUM-PLUS
AAS066TS1004B,2200,MAXUM
AAS066TS1004B,2200,ICONN
ABW032YF1005A,2200,MAXUM
ABU064RK1002A,2200,UTC2000
ABU024MA6001A,2200,UTC1000S
ABU024MA6001A,2200,UTC2000
ABU024MA6001A,2200,UTC3000
ALW078C93002A,2200,UTC2000
ALW078C93002A,2200,UTC3000
ALW078C93002A,2200,MAXUM-PLUS
ALW078C93002A,2200,MAXUM
ALW078C93002A,2200,ICONN
ACS054TS1004A,2200,UTC1000S
ALW048TW1072A,2200,UTC1000S
AUL086TA1004A,2200,UTC1000S
AUL086TA1004A,2200,UTC2000
ALW048TW1072A,2200,UTC2000
AAB063NW3001A,2200,UTC1000S
AAB063NW3001A,2200,UTC2000
AHQ0223R1001A,2200,ICONN
AAB008YD2007A,2200,MAXUM
AAB008YD2007A,2200,RAPID
AAW048TP1043B,2200,UTC1000S
AAW048TP1043B,2200,UTC2000
ACD084CC2004A,2200,UTC1000S
ACD084CC2004A,2200,UTC2000
ABU008Y62011A,2200,MAXUM
ABU100X69001A,2200,UTC2000
AVE008YD2005A,2200,MAXUM
ANV153XT3002A,2200,UTC2000
ANV153XT3002A,2200,UTC3000
ANV153XT3002A,3200,UTC2000
ANV153XT3002A,3200,UTC3000
AAS008YD2024A,2200,MAXUM
AAS008YD2030A,2200,MAXUM
ADY060CD4001A,2200,UTC1000S
ALW048TW1061A,2200,UTC1000S
ALW048TW1061A,2200,UTC2000
ABU008YQ2004A,2200,MAXUM
AAW063NW3002A,2200,UTC2000
ALW048TW1070A,2200,UTC1000S
AAS063NW1021A,2200,MAXUM
ALW048TW1070A,2200,UTC2000
ABU048MA4014A,2200,UTC1000S
ADY060CD4001A,2200,UTC2000
ABW048AC1013A,2200,MAXUM-PLUS
ABU048MA4014A,2200,UTC2000
ABU048MA4014A,2200,UTC3000
AAW024MA6022B,2200,UTC1000S
AAW024MA6022B,2200,UTC2000
ACS054TS1008A,2200,UTC1000S
ACS054TS1008A,2200,UTC2000
AQB054TN1003A,2200,ICONN
AQB066TN1006A,3200,ICONN
AQB066TN1006A,2200,ICONN
AQB054TN1004A,3200,ICONN
AQB054TN1004A,2200,ICONN
AOI072AF1081A,2200,MAXUM
AQB066TN1008A,2200,ICONN
AHQ0242J1001A,2200,ICONN
AAB008YD2012B,3200,MAXUM
AAB008YD2012B,2200,MAXUM
AVE054TS1001D,2200,UTC2000
AGJ132X2C005A,2200,UTC2000
AAW024MA6039A,2200,UTC2000
ANV0086A1020A,2200,MAXUM-PLUS
AAS008YM2024A,2200,MAXUM
AAB084N43002A,2200,UTC2000
ANV153XT3008A,2200,UTC2000
AAS008YM2022A,2200,MAXUM
ABW048AC1013A,2200,MAXUM
AAS008FG1011A,2200,MAXUM-PLUS
AAS008FG1011A,2200,MAXUM
AAS008FG1016A,2200,MAXUM-PLUS
AAS008FG1016A,2200,MAXUM
ACD054TN1002A,2200,UTC3000
ACD054TN1002A,2200,MAXUM
AAS048TG2003A,2200,MAXUM
AAS008FG1020A,2200,MAXUM-PLUS
AAS048TG2003A,2200,ICONN
AAB008YQ2044A,2200,MAXUM
ABU008YQ2001A,2200,MAXUM-PLUS
ABU008YQ2001A,2200,MAXUM
AAS096EI2001A,2200,MAXUM
AAS008YD2011A,2200,MAXUM
AAS008YQ2028A,2200,ICONN
AAW048TP1050A,2200,UTC1000S
AAW024XJ6013B,2200,UTC2000
AAW008YM2003A,2200,MAXUM
AAW024XJ6013B,3200,UTC2000
AAS054TS1001B,2200,MAXUM-PLUS
AAS054TS1001B,2200,MAXUM
ANV0086A1005A,2200,MAXUM-PLUS
ANV132X25007B,2200,UTC1000S
ANV132X25007B,2200,UTC2000
ANV0086A1017A,2200,MAXUM-PLUS
ANV0086A1018A,2200,MAXUM-PLUS
ANV0086A1019A,2200,MAXUM-PLUS
ABW032YF1008A,2200,MAXUM-PLUS
ABW032YF1008A,2200,MAXUM
ACS054TS1012A,2200,UTC1000S
ACS054TS1012A,2200,UTC2000
ACS054TS1012A,3200,UTC1000S
ACS054TS1012A,3200,UTC2000
AQW096EF2001A,2200,UTC1000S
AHQ028DX1002A,2200,UTC3000
ABU048TP2002A,2200,UTC2000
AAS008YD2032A,2200,MAXUM
AAW048TP1052A,2200,UTC2000
ABU200N71002B,2200,UTC1000S
ABU200N71002B,2200,UTC2000
AMS096EE2001A,2200,UTC2000
AMS096EE2001A,2200,UTC3000
AAS008FG1019A,2200,MAXUM
AAB008YQ2039B,2200,MAXUM
AAB008YQ2039B,2200,RAPID
ANV0086A1042A,2200,MAXUM-PLUS
ANV0086A1006A,2200,MAXUM-PLUS
AAS048TP2004A,2200,MAXUM
AQW008YM2003A,2200,MAXUM-PLUS
AQW008YM2003A,2200,MAXUM
AQW008YM2003A,2200,ICONN
AQW008YM2003A,2200,RAPID
AUL086TA1003A,2200,UTC1000S
ABU200N71001C,2200,UTC2000
AAW048TP1051A,2200,UTC1000S
AAS008FG1013A,2200,MAXUM-PLUS
AAS008FG1013A,2200,MAXUM
AAS008FG1021A,2200,MAXUM
AAS048TG2005B,2200,MAXUM
AAW008Y62017A,2200,MAXUM-PLUS
AAW008Y62017A,2200,MAXUM
AAW008YM1012A,2200,MAXUM-PLUS
AAW008YM1012A,2200,MAXUM
AAW008YM1012A,2200,RAPID
AAS008YM2016A,2200,MAXUM
AAS008YM2017A,2200,MAXUM
AAS008YQ2024A,2200,ICONN
ANV132X2A006B,2200,UTC1000S
ANV132X2A006B,2200,UTC2000
AAS008YQ2013A,2200,MAXUM
AAS096EI2009A,2200,MAXUM
AAS096EL1004B,2200,MAXUM
AAS096EL1004B,2200,ICONN
AAW008Y62010C,2200,MAXUM
ABW032YF1006B,2200,MAXUM
ACS054TS1007A,2200,UTC1000S
ACS054TS1007A,2200,UTC2000
AAS048TP2001A,2200,MAXUM
AAW024MA6029C,2200,UTC2000
BU165ML3004C,2200,UTC1000S
AAW024MAA008A,2200,UTC1000S
AAW024MAA006A,2200,UTC1000S
AAB008YM2020A,2200,MAXUM-PLUS
AAB008YM2020A,2200,MAXUM
AAW048TP1034B,2200,UTC1000S
AAS008YM2029A,2200,ICONN
AAB024MA5010A,2200,UTC1000S
AAB024MA5010A,2200,UTC2000
AAW008Y62019A,2200,MAXUM-PLUS
AAW008Y62019A,2200,MAXUM
AAS008FG1023A,2200,MAXUM
ANV132X25008A,2200,UTC2000
ANV132X25008A,2200,UTC3000
ABU200N71001B,2200,UTC2000
ABU200N71002A,2200,UTC2000
ABU200KX1001C,2200,UTC2000
ANV132X25001A,2200,UTC2000
ANV132X25001A,3200,UTC2000
ABU200KX1001C,3200,UTC2000
AAS008YQ2030A,2200,ICONN
ALW048TW1056A,2200,UTC1000S
ALW048TW1056A,2200,UTC2000
AAS008YQ2029A,2200,ICONN
ABU090NC8003A,2200,UTC1000S
ABU090NC8003A,2200,UTC2000
ANV132X25003A,2200,UTC2000
ANV132X25003A,2200,UTC3000
AAS008YD2028A,2200,MAXUM
AAW016D53011A,2200,UTC2000
AEU0086A1001A,2200,ICONN
AAW008Y62013A,2200,MAXUM-PLUS
AAW008Y62013A,2200,MAXUM
ABU008Y62010A,2200,MAXUM
ACD054TN1001A,2200,UTC1000S
ACD054TN1001A,2200,UTC2000
ACD054TN1001A,2200,MAXUM-PLUS
ABU200KX1001B,2200,UTC2000
ABU200KX1001B,3200,UTC2000
ANV0086A1004A,2200,MAXUM-PLUS
ANV0086A1004A,2200,MAXUM
AOK048TV1012A,2200,UTC1000S
AAB024MAA006A,2200,UTC1000S
AAW048TP1024D,2200,UTC1000S
AAW048TP1024D,2200,UTC2000
AAW048TP1024D,2200,UTC3000
AAW048TP1024D,2200,MAXUM-PLUS
AAB048TW2009A,2200,UTC2000
AAB060NR1006A,2200,UTC1000S
AAB060NR1006A,2200,UTC2000
ALW048TX1002A,2200,UTC1000S
AAW008Y62029A,2200,MAXUM-PLUS
AAW008Y62029A,2200,MAXUM
ALW048TX1001B,2200,UTC1000S
ALW048TX1001B,2200,UTC2000
AAW024MA5013A,2200,UTC1000S
AAW024MA5013A,2200,UTC2000
AAS048TG2007A,2200,MAXUM
AAS008FG1002A,2200,MAXUM
AAW008Y62018A,2200,MAXUM-PLUS
AAW008Y62018A,2200,MAXUM
AAB024MA6024B,2200,UTC1000S
AAB024MA6024B,2200,UTC2000
AAB024MAA010A,2200,UTC1000S
AAB024MAA010A,2200,UTC2000
AAB054NR2001A,2200,UTC2000
AAB060EM2001A,2200,UTC1000S
AAB060EM2001A,2200,UTC2000
AAB060NR2003A,2200,UTC1000S
AAB048TW2015A,2200,UTC1000S
AAB060NR2003A,2200,UTC2000
AAB084CC9001A,2200,UTC1000S
AAB084CC9001A,2200,UTC2000
AAB084CC9001A,2200,UTC5000S
AAB084CC9001A,2200,MAXUM-PLUS
ACD066TN1014A,2200,UTC2000
ACD066TN1014A,2200,UTC3000
AYZ084CC2002A,2200,UTC1000S
AYZ084CC2002A,2200,UTC2000
AAB084CC9001A,2200,RAPID
ABU048MA7001A,2200,UTC1000S
AAW024XW3002A,2200,UTC2000
ABU054MF6001A,2200,UTC1000S
ACD054MF2002A,2200,UTC1000S
ACD054MF2002A,2200,UTC2000
AYZ096EI1001A,2200,UTC1000S
AYZ096EI1001A,2200,UTC2000
BU048MW2005C,2200,UTC1000S
ACD096CA4001B,2200,UTC1000S
ACD096CA4001B,2200,UTC2000
ACD096CA4001B,2200,UTC3000
BU048MA2009B,2200,UTC1000S
AAB084RB2001A,2200,UTC1000S
AAB084RB2001A,2200,UTC2000
AAB084RB2001A,2200,UTC3000
AAB084RB2001A,2200,MAXUM
ANV0086B1002A,2200,ICONN
ABU060C91001D,2200,UTC1000S
ABU060C91001D,2200,UTC2000
AAB008YQ2026A,2200,MAXUM
AAS008YQ9003A,2200,MAXUM
AAW008Y62020A,2200,MAXUM
ANV0086A1021A,2200,MAXUM-PLUS
ANI008YK3001A,2200,ICONN-PLUS
AAS066TS1005B,2200,MAXUM
AAS008FG1022A,2200,MAXUM
AAB084CC2008A,2200,MAXUM-PLUS
AGA056TH2002A,2200,UTC1000S
AGA056TH2002A,2200,UTC2000
AAB024MA6030A,2200,UTC2000
AAB084CC2008A,2200,MAXUM-BASE
AAB084CC2008A,2200,MAXUM
AAB008YD2003A,2200,MAXUM
AAB008YD2003A,2200,RAPID
AMS048TW1050A,2200,UTC1000S
AMS048TW1050A,2200,UTC2000
AMS048TW1050A,2200,UTC5000S
AMS048TW1050A,2200,MAXUM-PLUS
AZA048TP2001A,2200,UTC2000
AMS048TW1050A,2200,RAPID
AAB024MAA007A,2200,UTC1000S
ANV345XTE003A,2200,UTC3000
ANV345XTE003A,3200,UTC2000
ABU008Y62002A,2200,MAXUM
ABU008Y62002A,2200,RAPID
AAW048TP1019B,2200,UTC1000S
AAW048TP1019B,2200,UTC2000
AAW024MA6037B,2200,UTC1000S
AAW024MA6037B,2200,UTC2000
AAB024MA6017A,2200,UTC1000S
AAB024MA6017A,2200,UTC2000
AAB008YB2007A,2200,MAXUM-PLUS
AAB008YB2007A,2200,MAXUM
ABU165ML3015A,2200,UTC1000S
AAW024XJ6001B,3200,UTC2000
AAW024XJ6001B,2200,UTC2000
AAB149KN2001A,2200,ICONN
AAB149KN2001A,3200,ICONN
ANV345XTA006A,2200,UTC3000
ANV345XTA006A,3200,UTC2000
ANV345XTA006A,3400,UTC3000
ABU048TG1002A,2200,UTC1000S
ANV345XTA006A,2200,UTC3000
ANV345XTA006A,3200,UTC2000
ANV345XTA006A,3400,UTC3000
ANV345XTA006A,2200,UTC3000
ANV345XTA006A,3200,UTC2000
ANV345XTA006A,3400,UTC3000
AAS048TG2001A,2200,MAXUM
AAW048TP1085A,2200,UTC1000S
AAW048TP1085A,2200,UTC2000
AAS066TS1001B,2200,MAXUM
ANV132X2A017A,2200,UTC1000S
ACD054TA1008B,2200,UTC1000S
ACD054TA1008B,2200,UTC2000
ACD054TA1008B,2200,UTC3000
ABU086TA1007A,2200,UTC1000S
AAB054TS1003A,2200,UTC1000S
ABU153XT9004A,2200,ICONN
ABU153XT9004A,3200,ICONN
AAB134N95002A,2200,UTC1000S
AAW024MAA007A,2200,UTC1000S
AGA134KM1001A,2200,UTC2000
AGA134KM1001A,3200,UTC2000
ABU048TP2002B,2200,UTC2000
ATM132X2B002A,3200,UTC3000
ATM132X2B002A,2200,UTC3000
AMS078C91003A,2200,UTC1000S
AMS078C91003A,2200,UTC2000
AMS078C91003A,2200,UTC3000
ANV0086A1008A,2200,MAXUM-PLUS
ANV153XT8022A,2200,UTC2000
AMS078C91003A,2200,MAXUM-PLUS
AMS078C91003A,2200,MAXUM
AMS078C91003A,2200,RAPID
ABU048TP2003B,2200,UTC1000S
AAS136XZ4001A,3400,ICONN
ABU008YM2008A,2200,MAXUM
ABU048TP2003B,2200,UTC2000
ABU048TP2001B,2200,UTC1000S
ABU048TP2001B,2200,UTC2000
AAW024MA6012A,2200,UTC1000S
AHQ0345V1004A,3200,RAPID
AAB008YB2004A,2200,MAXUM-PLUS
AAB008YB2004A,2200,MAXUM
AAB024XJ6011A,3600,UTC2000
AAB024XJ6011A,3600,UTC3000
AAB024XJ6011A,2200,UTC2000
AAB024XJ6011A,2200,UTC3000
ACS054TS1005A,2200,UTC1000S
ACS054TS1005A,2200,UTC2000
AMS048TW1063A,2200,UTC2000
AAB054TS1004A,2200,UTC1000S
AAB054TS1004A,2200,UTC2000
AUK012DN2003A,2200,UTC2000
AUK012DN2003A,2200,UTC3000
AUK012DN2003A,2200,UTC5000S
AAS008YQ2015A,2200,MAXUM
AAS008YQ2015A,2200,ICONN
AAS048TP2030A,2200,MAXUM
AAB054TN1005A,2200,UTC1000S
AAW048TP1022B,2200,UTC1000S
AAW048TP1022B,2200,UTC2000
AAB054TN1005A,2200,UTC2000
AAB054TN1005A,2200,UTC5000S
AAB054TN1005A,2200,MAXUM-PLUS
AAB054TN1005A,2200,MAXUM
ALW078EP1001A,2200,UTC1000S
ALW078EP1001A,2200,UTC2000
ALW078EP1001A,2200,UTC3000
ALW078EP1001A,2200,UTC5000S
ALW078EP1001A,2200,MAXUM-PLUS
ALW078EP1001A,2200,MAXUM
ALW078EP1001A,2200,RAPID
AAS066TS1007A,2200,MAXUM
ABU048MW2007A,2200,UTC1000S
ABU200N74002A,2200,UTC1000S
AQW090MV1013A,2200,UTC1000S
AQW090MV1013A,2200,UTC2000
ABU200N76002A,2200,UTC1000S
ALW132NY4041A,2200,UTC1000S
ALW132NY4041A,2200,MAXUM-PLUS
AAW024MA5010B,2200,UTC1000S
AAB060NR1004B,2200,UTC1000S
AAB060NR1004B,2200,UTC2000
AAW024MA6031B,2200,UTC1000S
AAW024MA6031B,2200,UTC2000
AAS008DR1004A,2200,MAXUM
AAB090NC4006A,2200,UTC1000S
AAB090NC4006A,2200,UTC2000
AAB008YD2005A,2200,MAXUM
AAB008YD2005A,2200,RAPID
AAS008YQ2014A,2200,MAXUM-PLUS
AAS008YQ2014A,2200,MAXUM
AAS008YQ2014A,2200,ICONN
AAW064MR1012A,2200,UTC1000S
ABU096EA3001A,3200,UTC2000
AAB063XM5003A,2200,UTC2000
AAB063XM5003A,3200,UTC2000
AAB054NB6002A,2200,UTC1000S
AAS048MAB007A,2200,MAXUM
ABU024MA6006A,2200,UTC1000S
AMS078EN1005A,2200,UTC1000S
ABU096EA3001A,3200,UTC3000
AXY391KJ3002B,2200,UTC3000
AAB008YB2015A,2200,MAXUM
AAB024MAA009A,2200,UTC2000
AAW048TP1080A,2200,UTC2000
AAB024XW3013A,3400,UTC3000
AAB024XW3013A,3200,UTC3000
ATR132X2C001A,2200,UTC3000
AXY391KJ3002B,2200,ICONN
AAS153XT9014A,2200,ICONN
ANI008YK3002A,2200,ICONN-PLUS
AXY391KJ3002B,3200,UTC3000
AXY391KJ3002B,3200,ICONN
AXY391KJ3002B,3400,UTC3000
AXY391KJ3002B,3400,ICONN
ABW032YB1005A,2200,MAXUM
AMS078EN1001A,2200,UTC1000S
AMS078EN1001A,2200,UTC2000
AMS078EN1001A,2200,UTC3000
AMS078EN1001A,2200,UTC5000S
AMS078EN1001A,2200,MAXUM-PLUS
AMS078EN1001A,2200,MAXUM
AMS078EN1001A,2200,ICONN
AMS078EN1001A,2200,ICONN-PLUS
AMS078EN1001A,2200,RAPID
AAS136XZ4001A,3200,ICONN
ACD096EL1003A,2200,UTC2000
AAW064MR1008B,2200,UTC1000S
AAW064MR1008B,2200,UTC2000
ABU078EA3001A,3200,UTC2000
ABU078EA3001A,2200,UTC2000
ABU024MA6002B,2200,UTC1000S
ABU084CC2001C,2200,UTC2000
AUL054TN1005A,2200,UTC1000S
AOK048TV1029A,2200,UTC3000
AOK048TV1029A,2200,MAXUM-PLUS
ABU024MA6010A,2200,UTC1000S
AOK048TV1029A,2200,RAPID
ABU008YQ2023A,2200,MAXUM
AHQ0225O2001A,2200,ICONN
AZA0086A1014A,2200,MAXUM
AZA0086A1008A,2200,MAXUM
ANV132X2C058A,2200,RAPID
AMS048TW1062A,2200,UTC2000
AIS048XW2001A,2200,UTC2000
AIS048XW2001A,3200,UTC2000
AIS048MA9004A,2200,UTC1000S
AIS048MA9004A,2200,UTC2000
AHQ0225S1002A,2200,ICONN
AHQ0225S1002A,2200,ICONN-PLUS
AAS060NR2005A,2200,MAXUM
AAS136XZ4003A,2200,ICONN
ABU168RM1007A,2200,MAXUM
AAS096EL1001A,2200,MAXUM-PLUS
AAS096EL1001A,2200,MAXUM
AAS096EL1001A,2200,ICONN
AAB054TN1002A,2200,UTC1000S
AAB054TN1002A,2200,UTC2000
AAB008YB2008A,2200,MAXUM-PLUS
AAB008YB2008A,2200,MAXUM
AHQ0345V1004A,2200,RAPID
AHQ0445T2011A,3200,RAPID
AAS096EL1002A,2200,MAXUM
AAB008YQ3027A,2200,MAXUM
AAB024XW3013A,2200,UTC2000
AAB054TN1002A,2200,UTC5000S
AAB054TN1002A,2200,MAXUM-PLUS
AAB054TN1002A,2200,MAXUM
ABU096EA4003A,2200,UTC2000
ABW052AC1005A,2200,MAXUM-PLUS
ABW052AC1005A,2200,MAXUM
ANV0086B1004A,2200,ICONN
ANV0086B1004A,2200,ICONN-PLUS
AYZ096EF2001A,2200,UTC2000
ANV132X2C034A,2200,RAPID
AAW024MA6029D,2200,UTC1000S
AMS048TW1036A,2200,UTC1000S
AMS048TW1016A,2200,UTC2000
AAW048TP1041B,2200,UTC2000
ACD054TN1003A,2200,UTC1000S
ANV153XT9071A,2200,RAPID
ABU008YD2002A,2200,MAXUM
ABU008YD2002A,2200,ICONN-PLUS
AAS067N51014A,2200,MAXUM
AAB008YB2009A,2200,MAXUM-PLUS
AAB008YB2009A,2200,MAXUM
AAB162KE1010A,2200,UTC1000S
AAB162KE1010A,2200,UTC2000
AAB162KE1010A,2200,UTC3000
AAS048TP1001A,2200,MAXUM
AYZ084CC2003A,2200,UTC1000S
AYZ084CC2003A,2200,UTC2000
AYZ084CC2003A,2200,UTC3000
AYZ084CC2003A,2200,MAXUM-PLUS
AYZ084CC2003A,2200,MAXUM
ANV153XT9070A,2200,RAPID
ABU008YD2008A,2200,MAXUM
ABU096EA1001A,2200,UTC1000S
ABU096EA1001A,2200,UTC2000
ABU096EA1001A,2200,UTC3000
ABU084CC2004B,2200,UTC1000S
ABU084CC2004B,2200,UTC2000
ABU084CC2004B,2200,UTC3000
AAB090NC7001A,2200,UTC1000S
AAB090NC7001A,2200,UTC2000
ABU153XT9001A,2200,ICONN
ABU153XT9001A,2200,ICONN-PLUS
ACS054TS1009A,2200,UTC2000
ACS054TS1009A,3200,UTC2000
AAB063NW3008A,2200,UTC1000S
ABU078EA1001A,2200,UTC1000S
ABU078EA1001A,2200,UTC2000
AAB096EL1017A,2200,UTC1000S
AAB024XJ6011A,3200,UTC2000
AAB024XJ6011A,3200,UTC3000
AAB024XJ6011A,3400,UTC2000
AAB024XJ6011A,3400,UTC3000
ATR132X2C003A,2200,UTC3000
ACS054TN1006A,2200,UTC1000S
ACS054TN1006A,2200,UTC2000
ABU090NC8001A,2200,UTC1000S
ABU090NC8001A,2200,UTC2000
ABU153XT9005A,2200,ICONN
